District,Month,Year,visitors,Dates
Adilabad,January,2020,621850,1/1/2020
Adilabad,February,2020,29421,2/1/2020
Adilabad,March,2020,9430,3/1/2020
Adilabad,April,2020,0,4/1/2020
Adilabad,May,2020,0,5/1/2020
Adilabad,June,2020,1909,6/1/2020
Adilabad,July,2020,549,7/1/2020
Adilabad,August,2020,654,8/1/2020
Adilabad,September,2020,3978,9/1/2020
Adilabad,October,2020,15128,10/1/2020
Adilabad,November,2020,27525,11/1/2020
Adilabad,December,2020,61403,12/1/2020
Bhadradri Kothagudem ,January,2020,269310,1/1/2020
Bhadradri Kothagudem ,February,2020,238140,2/1/2020
Bhadradri Kothagudem ,March,2020,79871,3/1/2020
Bhadradri Kothagudem ,April,2020,0,4/1/2020
Bhadradri Kothagudem ,May,2020,0,5/1/2020
Bhadradri Kothagudem ,June,2020,15399,6/1/2020
Bhadradri Kothagudem ,July,2020,15130,7/1/2020
Bhadradri Kothagudem ,August,2020,26350,8/1/2020
Bhadradri Kothagudem ,September,2020,30957,9/1/2020
Bhadradri Kothagudem ,October,2020,49203,10/1/2020
Bhadradri Kothagudem ,November,2020,76900,11/1/2020
Bhadradri Kothagudem ,December,2020,80842,12/1/2020
Hyderabad,January,2020,1157153,1/1/2020
Hyderabad,February,2020,868641,2/1/2020
Hyderabad,March,2020,321650,3/1/2020
Hyderabad,April,2020,0,4/1/2020
Hyderabad,May,2020,0,5/1/2020
Hyderabad,June,2020,0,6/1/2020
Hyderabad,July,2020,0,7/1/2020
Hyderabad,August,2020,0,8/1/2020
Hyderabad,September,2020,21861,9/1/2020
Hyderabad,October,2020,167510,10/1/2020
Hyderabad,November,2020,272276,11/1/2020
Hyderabad,December,2020,442895,12/1/2020
Jagtial ,January,2020,340174,1/1/2020
Jagtial ,February,2020,186484,2/1/2020
Jagtial ,March,2020,347014,3/1/2020
Jagtial ,April,2020,0,4/1/2020
Jagtial ,May,2020,0,5/1/2020
Jagtial ,June,2020,14228,6/1/2020
Jagtial ,July,2020,41752,7/1/2020
Jagtial ,August,2020,34496,8/1/2020
Jagtial ,September,2020,83012,9/1/2020
Jagtial ,October,2020,83004,10/1/2020
Jagtial ,November,2020,154438,11/1/2020
Jagtial ,December,2020,155757,12/1/2020
Jangaon ,January,2020,28150,1/1/2020
Jangaon ,February,2020,26390,2/1/2020
Jangaon ,March,2020,21430,3/1/2020
Jangaon ,April,2020,0,4/1/2020
Jangaon ,May,2020,0,5/1/2020
Jangaon ,June,2020,0,6/1/2020
Jangaon ,July,2020,2600,7/1/2020
Jangaon ,August,2020,2750,8/1/2020
Jangaon ,September,2020,2700,9/1/2020
Jangaon ,October,2020,3050,10/1/2020
Jangaon ,November,2020,12070,11/1/2020
Jangaon ,December,2020,11860,12/1/2020
Jayashankar Bhoopalpally,January,2020,50500,1/1/2020
Jayashankar Bhoopalpally,February,2020,59000,2/1/2020
Jayashankar Bhoopalpally,March,2020,34200,3/1/2020
Jayashankar Bhoopalpally,April,2020,0,4/1/2020
Jayashankar Bhoopalpally,May,2020,0,5/1/2020
Jayashankar Bhoopalpally,June,2020,0,6/1/2020
Jayashankar Bhoopalpally,July,2020,5600,7/1/2020
Jayashankar Bhoopalpally,August,2020,7000,8/1/2020
Jayashankar Bhoopalpally,September,2020,7600,9/1/2020
Jayashankar Bhoopalpally,October,2020,8000,10/1/2020
Jayashankar Bhoopalpally,November,2020,15000,11/1/2020
Jayashankar Bhoopalpally,December,2020,15200,12/1/2020
Jogulamba Gadwal ,January,2020,146441,1/1/2020
Jogulamba Gadwal ,February,2020,481110,2/1/2020
Jogulamba Gadwal ,March,2020,24013,3/1/2020
Jogulamba Gadwal ,April,2020,0,4/1/2020
Jogulamba Gadwal ,May,2020,0,5/1/2020
Jogulamba Gadwal ,June,2020,26013,6/1/2020
Jogulamba Gadwal ,July,2020,88182,7/1/2020
Jogulamba Gadwal ,August,2020,106925,8/1/2020
Jogulamba Gadwal ,September,2020,131485,9/1/2020
Jogulamba Gadwal ,October,2020,116753,10/1/2020
Jogulamba Gadwal ,November,2020,228325,11/1/2020
Jogulamba Gadwal ,December,2020,184380,12/1/2020
Kamareddy ,January,2020,45,1/1/2020
Kamareddy ,February,2020,42,2/1/2020
Kamareddy ,March,2020,30,3/1/2020
Kamareddy ,April,2020,0,4/1/2020
