District,Month,Year,visitors,Dates
Adilabad,January,2020,0,1/1/2020
Adilabad,February,2020,0,2/1/2020
Adilabad,March,2020,0,3/1/2020
Adilabad,April,2020,0,4/1/2020
Adilabad,May,2020,0,5/1/2020
Adilabad,June,2020,0,6/1/2020
Adilabad,July,2020,0,7/1/2020
Adilabad,August,2020,0,8/1/2020
Adilabad,September,2020,0,9/1/2020
Adilabad,October,2020,0,10/1/2020
Adilabad,November,2020,0,11/1/2020
Adilabad,December,2020,0,12/1/2020
Bhadradri Kothagudem ,January,2020,0,1/1/2020
Bhadradri Kothagudem ,February,2020,0,2/1/2020
Bhadradri Kothagudem ,March,2020,0,3/1/2020
Bhadradri Kothagudem ,April,2020,0,4/1/2020
Bhadradri Kothagudem ,May,2020,0,5/1/2020
Bhadradri Kothagudem ,June,2020,0,6/1/2020
Bhadradri Kothagudem ,July,2020,0,7/1/2020
Bhadradri Kothagudem ,August,2020,0,8/1/2020
Bhadradri Kothagudem ,September,2020,0,9/1/2020
Bhadradri Kothagudem ,October,2020,0,10/1/2020
Bhadradri Kothagudem ,November,2020,0,11/1/2020
Bhadradri Kothagudem ,December,2020,0,12/1/2020
Hyderabad,January,2020,25174,1/1/2020
Hyderabad,February,2020,16521,2/1/2020
Hyderabad,March,2020,3724,3/1/2020
Hyderabad,April,2020,0,4/1/2020
Hyderabad,May,2020,0,5/1/2020
Hyderabad,June,2020,0,6/1/2020
Hyderabad,July,2020,0,7/1/2020
Hyderabad,August,2020,0,8/1/2020
Hyderabad,September,2020,6,9/1/2020
Hyderabad,October,2020,76,10/1/2020
Hyderabad,November,2020,128,11/1/2020
Hyderabad,December,2020,230,12/1/2020
Jagtial ,January,2020,0,1/1/2020
Jagtial ,February,2020,0,2/1/2020
Jagtial ,March,2020,0,3/1/2020
Jagtial ,April,2020,0,4/1/2020
Jagtial ,May,2020,0,5/1/2020
Jagtial ,June,2020,0,6/1/2020
Jagtial ,July,2020,0,7/1/2020
Jagtial ,August,2020,0,8/1/2020
Jagtial ,September,2020,0,9/1/2020
Jagtial ,October,2020,0,10/1/2020
Jagtial ,November,2020,0,11/1/2020
Jagtial ,December,2020,0,12/1/2020
Jangaon ,January,2020,0,1/1/2020
Jangaon ,February,2020,0,2/1/2020
Jangaon ,March,2020,0,3/1/2020
Jangaon ,April,2020,0,4/1/2020
Jangaon ,May,2020,0,5/1/2020
Jangaon ,June,2020,0,6/1/2020
Jangaon ,July,2020,0,7/1/2020
Jangaon ,August,2020,0,8/1/2020
Jangaon ,September,2020,0,9/1/2020
Jangaon ,October,2020,0,10/1/2020
Jangaon ,November,2020,0,11/1/2020
Jangaon ,December,2020,0,12/1/2020
Jayashankar Bhoopalpally,January,2020,0,1/1/2020
Jayashankar Bhoopalpally,February,2020,0,2/1/2020
Jayashankar Bhoopalpally,March,2020,0,3/1/2020
Jayashankar Bhoopalpally,April,2020,0,4/1/2020
Jayashankar Bhoopalpally,May,2020,0,5/1/2020
Jayashankar Bhoopalpally,June,2020,0,6/1/2020
Jayashankar Bhoopalpally,July,2020,0,7/1/2020
Jayashankar Bhoopalpally,August,2020,0,8/1/2020
Jayashankar Bhoopalpally,September,2020,0,9/1/2020
Jayashankar Bhoopalpally,October,2020,0,10/1/2020
Jayashankar Bhoopalpally,November,2020,0,11/1/2020
Jayashankar Bhoopalpally,December,2020,0,12/1/2020
Jogulamba Gadwal ,January,2020,36,1/1/2020
Jogulamba Gadwal ,February,2020,6,2/1/2020
Jogulamba Gadwal ,March,2020,0,3/1/2020
Jogulamba Gadwal ,April,2020,0,4/1/2020
Jogulamba Gadwal ,May,2020,0,5/1/2020
Jogulamba Gadwal ,June,2020,0,6/1/2020
