district,date,month,year,visitors,Dates
Adilabad,1/1/2016,January,2016,792136,1/1/2016
Adilabad,1/2/2016,February,2016,937820,2/1/2016
Adilabad,1/3/2016,March,2016,582946,3/1/2016
Adilabad,1/4/2016,April,2016,341948,4/1/2016
Adilabad,1/5/2016,May,2016,252887,5/1/2016
Adilabad,1/6/2016,June,2016,368237,6/1/2016
Adilabad,1/7/2016,July,2016,447562,7/1/2016
Adilabad,1/8/2016,August,2016,614285,8/1/2016
Adilabad,1/9/2016,September,2016,491279,9/1/2016
Adilabad,1/10/2016,October,2016,94184,10/1/2016
Adilabad,1/11/2016,November,2016,99148,11/1/2016
Adilabad,1/12/2016,December,2016,53125,12/1/2016
Bhadradri Kothagudem ,1/1/2016,January,2016,0,1/1/2016
Bhadradri Kothagudem ,1/2/2016,February,2016,0,2/1/2016
Bhadradri Kothagudem ,1/3/2016,March,2016,0,3/1/2016
Bhadradri Kothagudem ,1/4/2016,April,2016,0,4/1/2016
Bhadradri Kothagudem ,1/5/2016,May,2016,0,5/1/2016
Bhadradri Kothagudem ,1/6/2016,June,2016,0,6/1/2016
Bhadradri Kothagudem ,1/7/2016,July,2016,0,7/1/2016
Bhadradri Kothagudem ,1/8/2016,August,2016,0,8/1/2016
Bhadradri Kothagudem ,1/9/2016,September,2016,0,9/1/2016
Bhadradri Kothagudem ,1/10/2016,October,2016,310133,10/1/2016
Bhadradri Kothagudem ,1/11/2016,November,2016,252127,11/1/2016
Bhadradri Kothagudem ,1/12/2016,December,2016,326770,12/1/2016
Hyderabad,1/1/2016,January,2016,1122510,1/1/2016
Hyderabad,1/2/2016,February,2016,778748,2/1/2016
Hyderabad,1/3/2016,March,2016,1017794,3/1/2016
Hyderabad,1/4/2016,April,2016,1127738,4/1/2016
Hyderabad,1/5/2016,May,2016,1287181,5/1/2016
Hyderabad,1/6/2016,June,2016,12032661,6/1/2016
Hyderabad,1/7/2016,July,2016,1096754,7/1/2016
Hyderabad,1/8/2016,August,2016,1061137,8/1/2016
Hyderabad,1/9/2016,September,2016,832987,9/1/2016
Hyderabad,1/10/2016,October,2016,901960,10/1/2016
Hyderabad,1/11/2016,November,2016,909733,11/1/2016
Hyderabad,1/12/2016,December,2016,1225502,12/1/2016
Jagtial ,1/1/2016,January,2016,0,1/1/2016
Jagtial ,1/2/2016,February,2016,0,2/1/2016
Jagtial ,1/3/2016,March,2016,0,3/1/2016
Jagtial ,1/4/2016,April,2016,0,4/1/2016
Jagtial ,1/5/2016,May,2016,0,5/1/2016
Jagtial ,1/6/2016,June,2016,0,6/1/2016
Jagtial ,1/7/2016,July,2016,0,7/1/2016
Jagtial ,1/8/2016,August,2016,0,8/1/2016
Jagtial ,1/9/2016,September,2016,0,9/1/2016
Jagtial ,1/10/2016,October,2016,201249,10/1/2016
Jagtial ,1/11/2016,November,2016,214534,11/1/2016
Jagtial ,1/12/2016,December,2016,207294,12/1/2016
Jangaon ,1/1/2016,January,2016,0,1/1/2016
Jangaon ,1/2/2016,February,2016,0,2/1/2016
Jangaon ,1/3/2016,March,2016,0,3/1/2016
