district,date,month,year,visitors,Dates
Adilabad,1/1/2016,January,2016,2,1/1/2016
Adilabad,1/2/2016,February,2016,0,2/1/2016
Adilabad,1/3/2016,March,2016,2,3/1/2016
Adilabad,1/4/2016,April,2016,0,4/1/2016
Adilabad,1/5/2016,May,2016,0,5/1/2016
Adilabad,1/6/2016,June,2016,0,6/1/2016
Adilabad,1/7/2016,July,2016,4,7/1/2016
Adilabad,1/8/2016,August,2016,2,8/1/2016
Adilabad,1/9/2016,September,2016,0,9/1/2016
Adilabad,1/10/2016,October,2016,0,10/1/2016
Adilabad,1/11/2016,November,2016,0,11/1/2016
Adilabad,1/12/2016,December,2016,0,12/1/2016
Bhadradri Kothagudem ,1/1/2016,January,2016,0,1/1/2016
Bhadradri Kothagudem ,1/2/2016,February,2016,0,2/1/2016
Bhadradri Kothagudem ,1/3/2016,March,2016,0,3/1/2016
Bhadradri Kothagudem ,1/4/2016,April,2016,0,4/1/2016
Bhadradri Kothagudem ,1/5/2016,May,2016,0,5/1/2016
Bhadradri Kothagudem ,1/6/2016,June,2016,0,6/1/2016
Bhadradri Kothagudem ,1/7/2016,July,2016,0,7/1/2016
Bhadradri Kothagudem ,1/8/2016,August,2016,0,8/1/2016
Bhadradri Kothagudem ,1/9/2016,September,2016,0,9/1/2016
Bhadradri Kothagudem ,1/10/2016,October,2016,0,10/1/2016
Bhadradri Kothagudem ,1/11/2016,November,2016,0,11/1/2016
Bhadradri Kothagudem ,1/12/2016,December,2016,0,12/1/2016
Hyderabad,1/1/2016,January,2016,15865,1/1/2016
Hyderabad,1/2/2016,February,2016,29646,2/1/2016
Hyderabad,1/3/2016,March,2016,13019,3/1/2016
Hyderabad,1/4/2016,April,2016,8402,4/1/2016
Hyderabad,1/5/2016,May,2016,8522,5/1/2016
Hyderabad,1/6/2016,June,2016,10284,6/1/2016
Hyderabad,1/7/2016,July,2016,17142,7/1/2016
Hyderabad,1/8/2016,August,2016,12842,8/1/2016
Hyderabad,1/9/2016,September,2016,9397,9/1/2016
Hyderabad,1/10/2016,October,2016,12808,10/1/2016
Hyderabad,1/11/2016,November,2016,8084,11/1/2016
Hyderabad,1/12/2016,December,2016,17620,12/1/2016
Jagtial ,1/1/2016,January,2016,0,1/1/2016
Jagtial ,1/2/2016,February,2016,0,2/1/2016
Jagtial ,1/3/2016,March,2016,0,3/1/2016
Jagtial ,1/4/2016,April,2016,0,4/1/2016
Jagtial ,1/5/2016,May,2016,0,5/1/2016
Jagtial ,1/6/2016,June,2016,0,6/1/2016
Jagtial ,1/7/2016,July,2016,0,7/1/2016
Jagtial ,1/8/2016,August,2016,0,8/1/2016
Jagtial ,1/9/2016,September,2016,0,9/1/2016
Jagtial ,1/10/2016,October,2016,0,10/1/2016
Jagtial ,1/11/2016,November,2016,0,11/1/2016
Jagtial ,1/12/2016,December,2016,0,12/1/2016
Jangaon ,1/1/2016,January,2016,0,1/1/2016
Jangaon ,1/2/2016,February,2016,0,2/1/2016
Jangaon ,1/3/2016,March,2016,0,3/1/2016
Jangaon ,1/4/2016,April,2016,0,4/1/2016
Jangaon ,1/5/2016,May,2016,0,5/1/2016
Jangaon ,1/6/2016,June,2016,0,6/1/2016
Jangaon ,1/7/2016,July,2016,0,7/1/2016
Jangaon ,1/8/2016,August,2016,0,8/1/2016
Jangaon ,1/9/2016,September,2016,0,9/1/2016
Jangaon ,1/10/2016,October,2016,0,10/1/2016
Jangaon ,1/11/2016,November,2016,2,11/1/2016
Jangaon ,1/12/2016,December,2016,0,12/1/2016
Jayashankar Bhoopalpally,1/1/2016,January,2016,0,1/1/2016
Jayashankar Bhoopalpally,1/2/2016,February,2016,0,2/1/2016
Jayashankar Bhoopalpally,1/3/2016,March,2016,0,3/1/2016
Jayashankar Bhoopalpally,1/4/2016,April,2016,0,4/1/2016
Jayashankar Bhoopalpally,1/5/2016,May,2016,0,5/1/2016
Jayashankar Bhoopalpally,1/6/2016,June,2016,0,6/1/2016
Jayashankar Bhoopalpally,1/7/2016,July,2016,0,7/1/2016
Jayashankar Bhoopalpally,1/8/2016,August,2016,0,8/1/2016
Jayashankar Bhoopalpally,1/9/2016,September,2016,0,9/1/2016
Jayashankar Bhoopalpally,1/10/2016,October,2016,24,10/1/2016
Jayashankar Bhoopalpally,1/11/2016,November,2016,22,11/1/2016
Jayashankar Bhoopalpally,1/12/2016,December,2016,40,12/1/2016
Jogulamba Gadwal ,1/1/2016,January,2016,0,1/1/2016
Jogulamba Gadwal ,1/2/2016,February,2016,0,2/1/2016
Jogulamba Gadwal ,1/3/2016,March,2016,0,3/1/2016
Jogulamba Gadwal ,1/4/2016,April,2016,0,4/1/2016
Jogulamba Gadwal ,1/5/2016,May,2016,0,5/1/2016
Jogulamba Gadwal ,1/6/2016,June,2016,0,6/1/2016
Jogulamba Gadwal ,1/7/2016,July,2016,0,7/1/2016
Jogulamba Gadwal ,1/8/2016,August,2016,0,8/1/2016
Jogulamba Gadwal ,1/9/2016,September,2016,0,9/1/2016
Jogulamba Gadwal ,1/10/2016,October,2016,13,10/1/2016
Jogulamba Gadwal ,1/11/2016,November,2016,21,11/1/2016
Jogulamba Gadwal ,1/12/2016,December,2016,11,12/1/2016
Kamareddy ,1/1/2016,January,2016,0,1/1/2016
Kamareddy ,1/2/2016,February,2016,0,2/1/2016
Kamareddy ,1/3/2016,March,2016,0,3/1/2016
Kamareddy ,1/4/2016,April,2016,0,4/1/2016
Kamareddy ,1/5/2016,May,2016,0,5/1/2016
Kamareddy ,1/6/2016,June,2016,0,6/1/2016
Kamareddy ,1/7/2016,July,2016,0,7/1/2016
Kamareddy ,1/8/2016,August,2016,0,8/1/2016
Kamareddy ,1/9/2016,September,2016,0,9/1/2016
Kamareddy ,1/10/2016,October,2016,0,10/1/2016
Kamareddy ,1/11/2016,November,2016,0,11/1/2016
Kamareddy ,1/12/2016,December,2016,0,12/1/2016
Karimnagar ,1/1/2016,January,2016,0,1/1/2016
Karimnagar ,1/2/2016,February,2016,0,2/1/2016
Karimnagar ,1/3/2016,March,2016,0,3/1/2016
Karimnagar ,1/4/2016,April,2016,0,4/1/2016
Karimnagar ,1/5/2016,May,2016,0,5/1/2016
Karimnagar ,1/6/2016,June,2016,0,6/1/2016
Karimnagar ,1/7/2016,July,2016,0,7/1/2016
Karimnagar ,1/8/2016,August,2016,0,8/1/2016
Karimnagar ,1/9/2016,September,2016,0,9/1/2016
Karimnagar ,1/10/2016,October,2016,0,10/1/2016
Karimnagar ,1/11/2016,November,2016,0,11/1/2016
Karimnagar ,1/12/2016,December,2016,0,12/1/2016
Khammam,1/1/2016,January,2016,0,1/1/2016
Khammam,1/2/2016,February,2016,0,2/1/2016
Khammam,1/3/2016,March,2016,0,3/1/2016
Khammam,1/4/2016,April,2016,0,4/1/2016
Khammam,1/5/2016,May,2016,0,5/1/2016
Khammam,1/6/2016,June,2016,0,6/1/2016
Khammam,1/7/2016,July,2016,0,7/1/2016
Khammam,1/8/2016,August,2016,0,8/1/2016
Khammam,1/9/2016,September,2016,0,9/1/2016
Khammam,1/10/2016,October,2016,0,10/1/2016
Khammam,1/11/2016,November,2016,0,11/1/2016
Khammam,1/12/2016,December,2016,0,12/1/2016
Komaram Bheem Asifabad,1/1/2016,January,2016,0,1/1/2016
Komaram Bheem Asifabad,1/2/2016,February,2016,0,2/1/2016
Komaram Bheem Asifabad,1/3/2016,March,2016,0,3/1/2016
Komaram Bheem Asifabad,1/4/2016,April,2016,0,4/1/2016
Komaram Bheem Asifabad,1/5/2016,May,2016,0,5/1/2016
Komaram Bheem Asifabad,1/6/2016,June,2016,0,6/1/2016
Komaram Bheem Asifabad,1/7/2016,July,2016,0,7/1/2016
Komaram Bheem Asifabad,1/8/2016,August,2016,0,8/1/2016
Komaram Bheem Asifabad,1/9/2016,September,2016,0,9/1/2016
Komaram Bheem Asifabad,1/10/2016,October,2016,0,10/1/2016
Komaram Bheem Asifabad,1/11/2016,November,2016,0,11/1/2016
Komaram Bheem Asifabad,1/12/2016,December,2016,0,12/1/2016
Mahabubabad ,1/1/2016,January,2016,0,1/1/2016
Mahabubabad ,1/2/2016,February,2016,0,2/1/2016
Mahabubabad ,1/3/2016,March,2016,0,3/1/2016
Mahabubabad ,1/4/2016,April,2016,0,4/1/2016
Mahabubabad ,1/5/2016,May,2016,0,5/1/2016
Mahabubabad ,1/6/2016,June,2016,0,6/1/2016
Mahabubabad ,1/7/2016,July,2016,0,7/1/2016
Mahabubabad ,1/8/2016,August,2016,0,8/1/2016
Mahabubabad ,1/9/2016,September,2016,0,9/1/2016
Mahabubabad ,1/10/2016,October,2016,0,10/1/2016
Mahabubabad ,1/11/2016,November,2016,0,11/1/2016
Mahabubabad ,1/12/2016,December,2016,0,12/1/2016
Mahbubnagar,1/1/2016,January,2016,123,1/1/2016
Mahbubnagar,1/2/2016,February,2016,126,2/1/2016
Mahbubnagar,1/3/2016,March,2016,103,3/1/2016
Mahbubnagar,1/4/2016,April,2016,75,4/1/2016
Mahbubnagar,1/5/2016,May,2016,58,5/1/2016
Mahbubnagar,1/6/2016,June,2016,68,6/1/2016
Mahbubnagar,1/7/2016,July,2016,63,7/1/2016
Mahbubnagar,1/8/2016,August,2016,86,8/1/2016
Mahbubnagar,1/9/2016,September,2016,74,9/1/2016
Mahbubnagar,1/10/2016,October,2016,37,10/1/2016
Mahbubnagar,1/11/2016,November,2016,29,11/1/2016
Mahbubnagar,1/12/2016,December,2016,26,12/1/2016
Mancherial,1/1/2016,January,2016,0,1/1/2016
Mancherial,1/2/2016,February,2016,0,2/1/2016
Mancherial,1/3/2016,March,2016,0,3/1/2016
Mancherial,1/4/2016,April,2016,0,4/1/2016
Mancherial,1/5/2016,May,2016,0,5/1/2016
Mancherial,1/6/2016,June,2016,0,6/1/2016
Mancherial,1/7/2016,July,2016,0,7/1/2016
Mancherial,1/8/2016,August,2016,0,8/1/2016
Mancherial,1/9/2016,September,2016,0,9/1/2016
Mancherial,1/10/2016,October,2016,0,10/1/2016
Mancherial,1/11/2016,November,2016,0,11/1/2016
Mancherial,1/12/2016,December,2016,0,12/1/2016
Medak ,1/1/2016,January,2016,0,1/1/2016
Medak ,1/2/2016,February,2016,0,2/1/2016
Medak ,1/3/2016,March,2016,0,3/1/2016
Medak ,1/4/2016,April,2016,0,4/1/2016
Medak ,1/5/2016,May,2016,0,5/1/2016
Medak ,1/6/2016,June,2016,0,6/1/2016
Medak ,1/7/2016,July,2016,0,7/1/2016
Medak ,1/8/2016,August,2016,0,8/1/2016
Medak ,1/9/2016,September,2016,0,9/1/2016
Medak ,1/10/2016,October,2016,0,10/1/2016
Medak ,1/11/2016,November,2016,0,11/1/2016
Medak ,1/12/2016,December,2016,0,12/1/2016
Medchal ,1/1/2016,January,2016,0,1/1/2016
Medchal ,1/2/2016,February,2016,0,2/1/2016
Medchal ,1/3/2016,March,2016,0,3/1/2016
Medchal ,1/4/2016,April,2016,0,4/1/2016
Medchal ,1/5/2016,May,2016,0,5/1/2016
Medchal ,1/6/2016,June,2016,0,6/1/2016
Medchal ,1/7/2016,July,2016,0,7/1/2016
Medchal ,1/8/2016,August,2016,0,8/1/2016
Medchal ,1/9/2016,September,2016,0,9/1/2016
Medchal ,1/10/2016,October,2016,0,10/1/2016
Medchal ,1/11/2016,November,2016,0,11/1/2016
Medchal ,1/12/2016,December,2016,0,12/1/2016
Nagarkurnool ,1/1/2016,January,2016,0,1/1/2016
Nagarkurnool ,1/2/2016,February,2016,0,2/1/2016
Nagarkurnool ,1/3/2016,March,2016,0,3/1/2016
Nagarkurnool ,1/4/2016,April,2016,0,4/1/2016
Nagarkurnool ,1/5/2016,May,2016,0,5/1/2016
Nagarkurnool ,1/6/2016,June,2016,0,6/1/2016
Nagarkurnool ,1/7/2016,July,2016,0,7/1/2016
Nagarkurnool ,1/8/2016,August,2016,0,8/1/2016
Nagarkurnool ,1/9/2016,September,2016,0,9/1/2016
Nagarkurnool ,1/10/2016,October,2016,8,10/1/2016
Nagarkurnool ,1/11/2016,November,2016,11,11/1/2016
Nagarkurnool ,1/12/2016,December,2016,10,12/1/2016
Nalgonda,1/1/2016,January,2016,0,1/1/2016
Nalgonda,1/2/2016,February,2016,0,2/1/2016
Nalgonda,1/3/2016,March,2016,0,3/1/2016
Nalgonda,1/4/2016,April,2016,0,4/1/2016
Nalgonda,1/5/2016,May,2016,0,5/1/2016
Nalgonda,1/6/2016,June,2016,0,6/1/2016
Nalgonda,1/7/2016,July,2016,0,7/1/2016
Nalgonda,1/8/2016,August,2016,0,8/1/2016
Nalgonda,1/9/2016,September,2016,0,9/1/2016
Nalgonda,1/10/2016,October,2016,0,10/1/2016
Nalgonda,1/11/2016,November,2016,0,11/1/2016
Nalgonda,1/12/2016,December,2016,0,12/1/2016
Nirmal,1/1/2016,January,2016,0,1/1/2016
Nirmal,1/2/2016,February,2016,0,2/1/2016
Nirmal,1/3/2016,March,2016,0,3/1/2016
Nirmal,1/4/2016,April,2016,0,4/1/2016
Nirmal,1/5/2016,May,2016,0,5/1/2016
Nirmal,1/6/2016,June,2016,0,6/1/2016
Nirmal,1/7/2016,July,2016,0,7/1/2016
Nirmal,1/8/2016,August,2016,0,8/1/2016
Nirmal,1/9/2016,September,2016,0,9/1/2016
Nirmal,1/10/2016,October,2016,0,10/1/2016
Nirmal,1/11/2016,November,2016,0,11/1/2016
Nirmal,1/12/2016,December,2016,0,12/1/2016
Nizamabad,1/1/2016,January,2016,0,1/1/2016
Nizamabad,1/2/2016,February,2016,0,2/1/2016
Nizamabad,1/3/2016,March,2016,0,3/1/2016
Nizamabad,1/4/2016,April,2016,0,4/1/2016
Nizamabad,1/5/2016,May,2016,0,5/1/2016
Nizamabad,1/6/2016,June,2016,0,6/1/2016
Nizamabad,1/7/2016,July,2016,0,7/1/2016
Nizamabad,1/8/2016,August,2016,0,8/1/2016
Nizamabad,1/9/2016,September,2016,0,9/1/2016
Nizamabad,1/10/2016,October,2016,0,10/1/2016
Nizamabad,1/11/2016,November,2016,0,11/1/2016
Nizamabad,1/12/2016,December,2016,0,12/1/2016
Peddapalli,1/1/2016,January,2016,0,1/1/2016
Peddapalli,1/2/2016,February,2016,0,2/1/2016
Peddapalli,1/3/2016,March,2016,0,3/1/2016
Peddapalli,1/4/2016,April,2016,0,4/1/2016
Peddapalli,1/5/2016,May,2016,0,5/1/2016
Peddapalli,1/6/2016,June,2016,0,6/1/2016
Peddapalli,1/7/2016,July,2016,0,7/1/2016
Peddapalli,1/8/2016,August,2016,0,8/1/2016
Peddapalli,1/9/2016,September,2016,0,9/1/2016
Peddapalli,1/10/2016,October,2016,0,10/1/2016
Peddapalli,1/11/2016,November,2016,0,11/1/2016
Peddapalli,1/12/2016,December,2016,0,12/1/2016
Rajanna Sircilla ,1/1/2016,January,2016,0,1/1/2016
Rajanna Sircilla ,1/2/2016,February,2016,0,2/1/2016
Rajanna Sircilla ,1/3/2016,March,2016,0,3/1/2016
Rajanna Sircilla ,1/4/2016,April,2016,0,4/1/2016
Rajanna Sircilla ,1/5/2016,May,2016,0,5/1/2016
Rajanna Sircilla ,1/6/2016,June,2016,0,6/1/2016
Rajanna Sircilla ,1/7/2016,July,2016,0,7/1/2016
Rajanna Sircilla ,1/8/2016,August,2016,0,8/1/2016
Rajanna Sircilla ,1/9/2016,September,2016,0,9/1/2016
Rajanna Sircilla ,1/10/2016,October,2016,0,10/1/2016
Rajanna Sircilla ,1/11/2016,November,2016,0,11/1/2016
Rajanna Sircilla ,1/12/2016,December,2016,0,12/1/2016
Ranga Reddy,1/1/2016,January,2016,0,1/1/2016
Ranga Reddy,1/2/2016,February,2016,0,2/1/2016
Ranga Reddy,1/3/2016,March,2016,0,3/1/2016
Ranga Reddy,1/4/2016,April,2016,0,4/1/2016
Ranga Reddy,1/5/2016,May,2016,0,5/1/2016
Ranga Reddy,1/6/2016,June,2016,0,6/1/2016
Ranga Reddy,1/7/2016,July,2016,0,7/1/2016
Ranga Reddy,1/8/2016,August,2016,0,8/1/2016
Ranga Reddy,1/9/2016,September,2016,0,9/1/2016
Ranga Reddy,1/10/2016,October,2016,0,10/1/2016
Ranga Reddy,1/11/2016,November,2016,0,11/1/2016
Ranga Reddy,1/12/2016,December,2016,0,12/1/2016
Sangareddy ,1/1/2016,January,2016,0,1/1/2016
Sangareddy ,1/2/2016,February,2016,0,2/1/2016
Sangareddy ,1/3/2016,March,2016,0,3/1/2016
Sangareddy ,1/4/2016,April,2016,0,4/1/2016
Sangareddy ,1/5/2016,May,2016,0,5/1/2016
Sangareddy ,1/6/2016,June,2016,0,6/1/2016
Sangareddy ,1/7/2016,July,2016,0,7/1/2016
Sangareddy ,1/8/2016,August,2016,0,8/1/2016
Sangareddy ,1/9/2016,September,2016,0,9/1/2016
Sangareddy ,1/10/2016,October,2016,0,10/1/2016
Sangareddy ,1/11/2016,November,2016,0,11/1/2016
Sangareddy ,1/12/2016,December,2016,0,12/1/2016
Siddipet,1/1/2016,January,2016,0,1/1/2016
Siddipet,1/2/2016,February,2016,0,2/1/2016
Siddipet,1/3/2016,March,2016,0,3/1/2016
Siddipet,1/4/2016,April,2016,0,4/1/2016
Siddipet,1/5/2016,May,2016,0,5/1/2016
Siddipet,1/6/2016,June,2016,0,6/1/2016
Siddipet,1/7/2016,July,2016,0,7/1/2016
Siddipet,1/8/2016,August,2016,0,8/1/2016
Siddipet,1/9/2016,September,2016,0,9/1/2016
Siddipet,1/10/2016,October,2016,0,10/1/2016
Siddipet,1/11/2016,November,2016,0,11/1/2016
Siddipet,1/12/2016,December,2016,0,12/1/2016
Suryapet,1/1/2016,January,2016,0,1/1/2016
Suryapet,1/2/2016,February,2016,0,2/1/2016
Suryapet,1/3/2016,March,2016,0,3/1/2016
Suryapet,1/4/2016,April,2016,0,4/1/2016
Suryapet,1/5/2016,May,2016,0,5/1/2016
Suryapet,1/6/2016,June,2016,0,6/1/2016
Suryapet,1/7/2016,July,2016,0,7/1/2016
Suryapet,1/8/2016,August,2016,0,8/1/2016
Suryapet,1/9/2016,September,2016,0,9/1/2016
Suryapet,1/10/2016,October,2016,0,10/1/2016
Suryapet,1/11/2016,November,2016,0,11/1/2016
Suryapet,1/12/2016,December,2016,0,12/1/2016
Vikarabad,1/1/2016,January,2016,0,1/1/2016
Vikarabad,1/2/2016,February,2016,0,2/1/2016
Vikarabad,1/3/2016,March,2016,0,3/1/2016
Vikarabad,1/4/2016,April,2016,0,4/1/2016
Vikarabad,1/5/2016,May,2016,0,5/1/2016
Vikarabad,1/6/2016,June,2016,0,6/1/2016
Vikarabad,1/7/2016,July,2016,0,7/1/2016
Vikarabad,1/8/2016,August,2016,0,8/1/2016
Vikarabad,1/9/2016,September,2016,0,9/1/2016
Vikarabad,1/10/2016,October,2016,0,10/1/2016
Vikarabad,1/11/2016,November,2016,0,11/1/2016
Vikarabad,1/12/2016,December,2016,0,12/1/2016
Wanaparthy ,1/1/2016,January,2016,0,1/1/2016
Wanaparthy ,1/2/2016,February,2016,0,2/1/2016
Wanaparthy ,1/3/2016,March,2016,0,3/1/2016
Wanaparthy ,1/4/2016,April,2016,0,4/1/2016
Wanaparthy ,1/5/2016,May,2016,0,5/1/2016
Wanaparthy ,1/6/2016,June,2016,0,6/1/2016
Wanaparthy ,1/7/2016,July,2016,0,7/1/2016
Wanaparthy ,1/8/2016,August,2016,0,8/1/2016
Wanaparthy ,1/9/2016,September,2016,0,9/1/2016
Wanaparthy ,1/10/2016,October,2016,0,10/1/2016
Wanaparthy ,1/11/2016,November,2016,0,11/1/2016
Wanaparthy ,1/12/2016,December,2016,0,12/1/2016
Warangal (Rural),1/1/2016,January,2016,0,1/1/2016
Warangal (Rural),1/2/2016,February,2016,0,2/1/2016
Warangal (Rural),1/3/2016,March,2016,0,3/1/2016
Warangal (Rural),1/4/2016,April,2016,0,4/1/2016
Warangal (Rural),1/5/2016,May,2016,0,5/1/2016
Warangal (Rural),1/6/2016,June,2016,0,6/1/2016
Warangal (Rural),1/7/2016,July,2016,0,7/1/2016
Warangal (Rural),1/8/2016,August,2016,0,8/1/2016
Warangal (Rural),1/9/2016,September,2016,0,9/1/2016
Warangal (Rural),1/10/2016,October,2016,0,10/1/2016
Warangal (Rural),1/11/2016,November,2016,0,11/1/2016
Warangal (Rural),1/12/2016,December,2016,0,12/1/2016
Warangal (Urban),1/1/2016,January,2016,459,1/1/2016
Warangal (Urban),1/2/2016,February,2016,391,2/1/2016
Warangal (Urban),1/3/2016,March,2016,230,3/1/2016
Warangal (Urban),1/4/2016,April,2016,39,4/1/2016
Warangal (Urban),1/5/2016,May,2016,82,5/1/2016
Warangal (Urban),1/6/2016,June,2016,88,6/1/2016
Warangal (Urban),1/7/2016,July,2016,53,7/1/2016
Warangal (Urban),1/8/2016,August,2016,102,8/1/2016
Warangal (Urban),1/9/2016,September,2016,118,9/1/2016
Warangal (Urban),1/10/2016,October,2016,108,10/1/2016
Warangal (Urban),1/11/2016,November,2016,97,11/1/2016
Warangal (Urban),1/12/2016,December,2016,132,12/1/2016
Yadadri Bhongir,1/1/2016,January,2016,0,1/1/2016
Yadadri Bhongir,1/2/2016,February,2016,0,2/1/2016
Yadadri Bhongir,1/3/2016,March,2016,0,3/1/2016
Yadadri Bhongir,1/4/2016,April,2016,0,4/1/2016
Yadadri Bhongir,1/5/2016,May,2016,0,5/1/2016
Yadadri Bhongir,1/6/2016,June,2016,0,6/1/2016
Yadadri Bhongir,1/7/2016,July,2016,0,7/1/2016
Yadadri Bhongir,1/8/2016,August,2016,0,8/1/2016
Yadadri Bhongir,1/9/2016,September,2016,0,9/1/2016
Yadadri Bhongir,1/10/2016,October,2016,0,10/1/2016
Yadadri Bhongir,1/11/2016,November,2016,0,11/1/2016
Yadadri Bhongir,1/12/2016,December,2016,0,12/1/2016
Adilabad,1/1/2017,January,2017,5,1/1/2017
Adilabad,1/2/2017,February,2017,0,2/1/2017
Adilabad,1/3/2017,March,2017,0,3/1/2017
Adilabad,1/4/2017,April,2017,0,4/1/2017
Adilabad,1/5/2017,May,2017,0,5/1/2017
Adilabad,1/6/2017,June,2017,3,6/1/2017
Adilabad,1/7/2017,July,2017,0,7/1/2017
Adilabad,1/8/2017,August,2017,0,8/1/2017
Adilabad,1/9/2017,September,2017,3,9/1/2017
Adilabad,1/10/2017,October,2017,0,10/1/2017
Adilabad,1/11/2017,November,2017,0,11/1/2017
Adilabad,1/12/2017,December,2017,0,12/1/2017
Bhadradri Kothagudem ,1/1/2017,January,2017,0,1/1/2017
Bhadradri Kothagudem ,1/2/2017,February,2017,0,2/1/2017
Bhadradri Kothagudem ,1/3/2017,March,2017,0,3/1/2017
Bhadradri Kothagudem ,1/4/2017,April,2017,0,4/1/2017
Bhadradri Kothagudem ,1/5/2017,May,2017,0,5/1/2017
Bhadradri Kothagudem ,1/6/2017,June,2017,0,6/1/2017
Bhadradri Kothagudem ,1/7/2017,July,2017,0,7/1/2017
Bhadradri Kothagudem ,1/8/2017,August,2017,0,8/1/2017
Bhadradri Kothagudem ,1/9/2017,September,2017,0,9/1/2017
Bhadradri Kothagudem ,1/10/2017,October,2017,0,10/1/2017
Bhadradri Kothagudem ,1/11/2017,November,2017,0,11/1/2017
Bhadradri Kothagudem ,1/12/2017,December,2017,0,12/1/2017
Hyderabad,1/1/2017,January,2017,19286,1/1/2017
Hyderabad,1/2/2017,February,2017,18097,2/1/2017
Hyderabad,1/3/2017,March,2017,13875,3/1/2017
Hyderabad,1/4/2017,April,2017,12996,4/1/2017
Hyderabad,1/5/2017,May,2017,12983,5/1/2017
Hyderabad,1/6/2017,June,2017,12486,6/1/2017
Hyderabad,1/7/2017,July,2017,18144,7/1/2017
Hyderabad,1/8/2017,August,2017,16985,8/1/2017
Hyderabad,1/9/2017,September,2017,27856,9/1/2017
Hyderabad,1/10/2017,October,2017,26368,10/1/2017
Hyderabad,1/11/2017,November,2017,29170,11/1/2017
Hyderabad,1/12/2017,December,2017,38933,12/1/2017
Jagtial ,1/1/2017,January,2017,0,1/1/2017
Jagtial ,1/2/2017,February,2017,0,2/1/2017
Jagtial ,1/3/2017,March,2017,0,3/1/2017
Jagtial ,1/4/2017,April,2017,0,4/1/2017
Jagtial ,1/5/2017,May,2017,0,5/1/2017
Jagtial ,1/6/2017,June,2017,0,6/1/2017
Jagtial ,1/7/2017,July,2017,0,7/1/2017
Jagtial ,1/8/2017,August,2017,0,8/1/2017
Jagtial ,1/9/2017,September,2017,0,9/1/2017
Jagtial ,1/10/2017,October,2017,0,10/1/2017
Jagtial ,1/11/2017,November,2017,0,11/1/2017
Jagtial ,1/12/2017,December,2017,0,12/1/2017
Jangaon ,1/1/2017,January,2017,0,1/1/2017
