district,date,month,year,visitors
Adilabad,1/1/2018,January,2018,0
Adilabad,1/2/2018,February,2018,0
Adilabad,1/3/2018,March,2018,0
Adilabad,1/4/2018,April,2018,0
Adilabad,1/5/2018,May,2018,0
Adilabad,1/6/2018,June,2018,0
Adilabad,1/7/2018,July,2018,2
Adilabad,1/8/2018,August,2018,3
Adilabad,1/9/2018,September,2018,0
Adilabad,1/10/2018,October,2018,0
Adilabad,1/11/2018,November,2018,0
Adilabad,1/12/2018,December,2018,0
Bhadradri Kothagudem ,1/1/2018,January,2018,0
Bhadradri Kothagudem ,1/2/2018,February,2018,0
Bhadradri Kothagudem ,1/3/2018,March,2018,0
Bhadradri Kothagudem ,1/4/2018,April,2018,0
Bhadradri Kothagudem ,1/5/2018,May,2018,0
Bhadradri Kothagudem ,1/6/2018,June,2018,0
Bhadradri Kothagudem ,1/7/2018,July,2018,0
Bhadradri Kothagudem ,1/8/2018,August,2018,0
Bhadradri Kothagudem ,1/9/2018,September,2018,0
Bhadradri Kothagudem ,1/10/2018,October,2018,0
Bhadradri Kothagudem ,1/11/2018,November,2018,0
Bhadradri Kothagudem ,1/12/2018,December,2018,0
Hyderabad,1/1/2018,January,2018,35379
Hyderabad,1/2/2018,February,2018,30414
Hyderabad,1/3/2018,March,2018,27535
Hyderabad,1/4/2018,April,2018,20830
Hyderabad,1/5/2018,May,2018,21554
Hyderabad,1/6/2018,June,2018,24677
Hyderabad,1/7/2018,July,2018,17456
Hyderabad,1/8/2018,August,2018,31217
Hyderabad,1/9/2018,September,2018,22809
Hyderabad,1/10/2018,October,2018,30072
Hyderabad,1/11/2018,November,2018,23487
Hyderabad,1/12/2018,December,2018,29358
Jagtial ,1/1/2018,January,2018,0
Jagtial ,1/2/2018,February,2018,0
Jagtial ,1/3/2018,March,2018,0
Jagtial ,1/4/2018,April,2018,0
Jagtial ,1/5/2018,May,2018,0
Jagtial ,1/6/2018,June,2018,0
Jagtial ,1/7/2018,July,2018,0
Jagtial ,1/8/2018,August,2018,0
Jagtial ,1/9/2018,September,2018,0
Jagtial ,1/10/2018,October,2018,0
Jagtial ,1/11/2018,November,2018,0
Jagtial ,1/12/2018,December,2018,0
Jangaon ,1/1/2018,January,2018,0
Jangaon ,1/2/2018,February,2018,0
Jangaon ,1/3/2018,March,2018,0
Jangaon ,1/4/2018,April,2018,0
Jangaon ,1/5/2018,May,2018,0
Jangaon ,1/6/2018,June,2018,0
Jangaon ,1/7/2018,July,2018,0
Jangaon ,1/8/2018,August,2018,0
Jangaon ,1/9/2018,September,2018,0
Jangaon ,1/10/2018,October,2018,0
Jangaon ,1/11/2018,November,2018,0
Jangaon ,1/12/2018,December,2018,0
Jayashankar Bhoopalpally,1/1/2018,January,2018,50
Jayashankar Bhoopalpally,1/2/2018,February,2018,60
Jayashankar Bhoopalpally,1/3/2018,March,2018,70
Jayashankar Bhoopalpally,1/4/2018,April,2018,45
Jayashankar Bhoopalpally,1/5/2018,May,2018,40
Jayashankar Bhoopalpally,1/6/2018,June,2018,35
Jayashankar Bhoopalpally,1/7/2018,July,2018,40
Jayashankar Bhoopalpally,1/8/2018,August,2018,35
